Date;Artist;Song Name;Korean Name;Director;lien_video;Type;Release;vues;likes;comments;id_video;ratio_engagement
2020-04-01;hong jinyoung;Love is like a petal;사랑은 꽃잎처럼;;https://youtu.be/aTx5trrmYCQ;Girl Solo;Major;3201077.0;68732.0;3475.0;63;0.02147152349037527
2020-03-31;cix;Revival;;;https://youtu.be/LkbwhXFrmsc;Boy;Japanese;5853171.0;152403.0;9158.0;64;0.02603768111336573
2020-03-30;too;Magnolia;매그놀리아;;https://youtu.be/VMON43ideUI;Boy;Major;2168474.0;162902.0;6549.0;65;0.07512287442690113
2020-03-30;monsta x;Wish on the same sky;;;https://youtu.be/Xn5fAvdEEZA;Boy;Japanese;1914744.0;120555.0;12346.0;66;0.062961419385568
2020-03-30;suho (exo);Let's Love;사랑, 하자;;https://youtu.be/Ygrv55VRRas;Boy Solo;Major;14769138.0;1239512.0;404351.0;67;0.08392581882571616
2020-03-26;winner;Hold;뜸;Sushivisual;https://youtu.be/YURT0erwtJc;Boy;Major;18953945.0;849634.0;50399.0;68;0.044826235382660444
2020-03-24;kang daniel;2U;;;https://youtu.be/GmqfRBaJm6I;Boy Solo;Major;8429364.0;361426.0;23846.0;69;0.04287701895421766
2020-03-24;oneus;A Song Written Easily;쉽게 쓰여진 노래;ZANYBROS;https://youtu.be/Fbj4Dh-QkpA;Boy;Major;9740040.0;372615.0;26331.0;70;0.03825600305542893
2020-03-23;seventeen;Fallin' Flower;舞い落ちる花びら;;https://youtu.be/u4iDL3c0T1c;Boy;Japanese;53607119.0;961841.0;64251.0;71;0.017942411715876766
2020-03-22;kisum;Primero;1위;;https://youtu.be/5YsdHqm9udM;Girl Solo;Minor;218322.0;10294.0;545.0;72;0.0471505391119539
2020-03-21;purplebeck;VALENTi;;;https://youtu.be/ndwoqz1wx7Y;Girl;Major;;;;73;
2020-03-20;daydream;Num Num;;;https://youtu.be/XrAZVvCaqL0;Girl;Major;38830.0;2594.0;290.0;74;0.0668040175122328
2020-03-17;sejeong (gugudan);Plant;;;https://youtu.be/pbAUixR61Vs;Girl Solo;Major;;;;75;
2020-03-15;hong eunki;Breath;숨;;https://youtu.be/zIvlwzMuP-4;Boy Solo;Major;164479.0;15452.0;596.0;76;0.09394512369360222
2020-03-13;eyedi;J.us.t;;;https://youtu.be/UbIz99fsUXY;Girl Solo;Major;166235.0;8866.0;595.0;77;0.053334135410713746
2020-03-12;ab6ix;Color Eye (Park Woojin);;;https://youtu.be/aFRkwkLMGHI;Boy;Special;5253982.0;115200.0;5989.0;78;0.021926226622017358
2020-03-11;dongkiz;Lupin;;;https://youtu.be/6ZgIW9CwhZw;Boy;Major;1429611.0;87004.0;6358.0;79;0.06085851325990077
2020-03-11;dreamcatcher;Sahara;;;https://youtu.be/BgLhbkKu1s4;Girl;Special;6230273.0;222186.0;9611.0;80;0.0356623216992257
2020-03-10;favorite;Lie;또 LIE;;https://youtu.be/lE1X2U1sBFg;Girl;Major;785589.0;42827.0;1764.0;81;0.05451578369860067
2020-03-09;stray kids;Levanter -Japanese ver.-;;;https://youtu.be/YlOLn9Pd9R4;Boy;Japanese;2375507.0;148201.0;3985.0;82;0.06238710304789672
2020-03-09;itzy;Wannabe;;Naive;https://youtu.be/fE2h3lGlOsk;Girl;Major;554100940.0;6694239.0;343655.0;83;0.012081262666690297
2020-03-08;victon;Howling;;;https://youtu.be/fPlcZsCOugA;Boy;Major;19229314.0;325835.0;22927.0;84;0.016944702239507867
2020-03-05;bts;Black Swan;;;https://youtu.be/0lapF4DQPKQ;Boy;Minor;539477714.0;13314294.0;1216586.0;85;0.024679970375940313
2020-03-05;nct 127;Kick It;영웅;Kim 'Oui Kim' Seonguk;https://youtu.be/2OvyA2__Eas;Boy;Major;190204602.0;4134183.0;439001.0;86;0.021735452016034818
2020-03-04;viini;Love The Moon feat. Suhyun, BLOO;달을 사랑해;;https://youtu.be/Md9RRt2r3TU;Boy Solo;Major;2381179.0;158994.0;7794.0;87;0.06677112472434873
2020-03-04;dreamcatcher;Endless Night;;;https://youtu.be/wCALuFy2YVI;Girl;Japanese;3011805.0;110427.0;5713.0;88;0.036664724309840774
2020-03-03;craxy;Aria;;;https://youtu.be/KhM_l1EeHKc;Girl;Major;3455691.0;121189.0;21004.0;89;0.035069397119128994
2020-03-01;ftisland;Sunrise Yellow;;;https://youtu.be/SYMZf2DgRdg;Boy;Japanese;471370.0;15193.0;785.0;90;0.03223158028724781
2020-02-29;chungha;Everybody Has;솔직히 지친다;;https://youtu.be/-4sq1sUI7-I;Girl;Special;2258028.0;122194.0;2529.0;91;0.054115360836978106
2020-02-28;bts;ON;온;;https://youtu.be/mPVDGOVjRQ0;Boy;Major;337844846.0;12763539.0;2712155.0;92;0.03777929174032745
2020-02-28;lim kim;Mong;;;https://youtu.be/XYNfqKJr538;Girl Solo;Major;747161.0;31225.0;2112.0;93;0.041791528198072435
2020-02-27;sf9;Good Guy -Japanese ver.-;;;https://youtu.be/LswOtwkLEAI;Boy;Japanese;1145613.0;32928.0;1363.0;94;0.028742690594467765
2020-02-27;mcnd;Ice Age;;;https://youtu.be/XpIG9dq1PQw;Boy;Major;30697469.0;936982.0;56977.0;95;0.030523102735277623
2020-02-26;elris;Jackpot;;August Frogs;https://youtu.be/iPAIlZM1VUU;Girl;Major;2280020.0;69551.0;4337.0;96;0.03050455697757037
2020-02-24;alexa;A.I Trooper;;;https://youtu.be/LGt-Dmnjk-s;Girl Solo;Minor;3418772.0;140648.0;5525.0;97;0.04113991807584712
2020-02-24;ravi;ROCKSTAR (Feat. Paloalto);;;https://youtu.be/OZw8s1wVUtU;Boy Solo;Major;;;;98;
2020-02-23;spectrum;Showtime;;;https://youtu.be/13ktxoI5E-M;Boy;Major;;;;99;
2020-02-22;unvs;Timeless;;;https://youtu.be/MEtQXrElVy0;Boy;Major;295211.0;25392.0;1012.0;100;0.08601305506908617
2020-02-21;bts;ON (Kinetic Manifesto Film : Come Prima);온;Lumpens;https://youtu.be/gwMa6gpoE9I;Boy;Major;628868413.0;14661343.0;1781550.0;101;0.023313848647697942
2020-02-21;elris;This is me (Dance Ver.);;;https://youtu.be/9uhUmjANdQA;Girl;Minor;876936.0;22258.0;1264.0;102;0.025381555780581478
2020-02-21;moon;Woo;;;https://youtu.be/WDrcvug1xZs;Girl Solo;Major;;;;103;
2020-02-21;3ye;Queen;퀸;;https://youtu.be/HWOtN5B8PnU;Girl;Major;9595006.0;165879.0;7217.0;104;0.017288055890741495
2020-02-20;weki meki;Dazzle Dazzle;대즐대즐;;https://youtu.be/RTeOt6n90vM;Girl;Major;6945405.0;251017.0;9552.0;105;0.03614144891478611
2020-02-20;ab6ix;More (Kim Donghyun);더 더;;https://youtu.be/VRhO5svfMTI;Boy;Special;3250788.0;73546.0;2558.0;106;0.022624052998842126
2020-02-18;dreamcatcher;Scream;;;https://youtu.be/FKlGHHhTOsQ;Girl;Major;51619931.0;1037847.0;67249.0;107;0.020105547990755743
