nom_du_groupe;Short;Korean Name;Debut;Company;Members;Orig. Memb.;Fanclub Name;Active;id_group;genre
lipbubble;;립버블;2017-03-22;Zenith;7;7;;Yes;98;Girl Group
loona;LOOΠΔ;이달의 소녀;2016-10-04;Blockberry;12;12;;Yes;99;Girl Group
lovelyz;;러블리즈;2014-11-17;Woollim;8;8;Lovelinus;Yes;100;Girl Group
lusty;;러스티;2019-06-26;babaplay;5;5;;Yes;101;Girl Group
mamamoo;;마마무;2014-06-18;RBW;4;4;Moomoo;Yes;102;Girl Group
marmello;;마르멜로;2017-05-24;Rolling;5;5;;No;103;Girl Group
matilda;;마틸다;2016-03-18;Box;4;4;;No;104;Girl Group
melody day;;멜로디데이;2014-02-25;Cre.Ker;4;3;;No;105;Girl Group
minx;;밍스;2014-09-18;Happy Face;5;5;;No;106;Girl Group
miss a;;미쓰에이;2010-07-01;JYP;3;4;Say A;No;107;Girl Group
mixx;;믹스;2016-05-02;Chiko;5;4;;No;108;Girl Group
momoland;;모모랜드;2016-11-09;Double Kick;6;7;;Yes;109;Girl Group
myb;;마이비;2015-08-25;Maroo;6;6;;No;110;Girl Group
nature;;네이처;2018-08-03;n.CH;9;9;;Yes;111;Girl Group
o21;;오투원;2016-06-21;Houxiu;3;6;;No;112;Girl Group
oh my girl;OHMG;오마이걸;2015-04-21;WM;7;8;Miracle;Yes;113;Girl Group
ohbliss;;오블리스;2016-10-17;JT Corea;5;5;;Yes;114;Girl Group
p.o.p;;피오피;2017-07-26;DWM;6;6;;Yes;115;Girl Group
pink fantasy;;핑크판타지;2018-10-28;My Doll;8;8;;Yes;116;Girl Group
playback;;플레이백;2015-06-25;Coridel;5;4;;Yes;117;Girl Group
pristin;;프리스틴;2017-03-21;Pledis;10;10;;No;118;Girl Group
pungdeng-e;;풍뎅이;2013-12-11;DOMA;3;3;;Yes;119;Girl Group
purplebeck;;퍼플백;2019-06-24;Majesty;5;5;Beckies;Yes;120;Girl Group
rainbow;;레인보우;2010-08-12;DSP;7;7;;No;121;Girl Group
rania;;라니아;2011-04-06;DR;5;8;;Yes;122;Girl Group
red velvet;RV;레드벨벳;2014-08-01;SM;5;4;;Yes;123;Girl Group
rockit girl;;락킷걸;2019-05-30;Rolling;2;2;;Yes;124;Girl Group
rose finger;;로즈핑거;2018-10-03;YC:Bros;4;4;;Yes;125;Girl Group
rubber soul;;러버소울;2015-02-10;Happy Tribe;2;3;;Yes;126;Girl Group
s.e.s;;에스.이.에스;1997-11-01;SM;3;3;;No;127;Girl Group
s.i.s;;에스아이에스;2017-08-25;Double X;6;6;;Yes;128;Girl Group
saturday;;세러데이;2018-07-18;SD;6;7;;Yes;129;Girl Group
secret;;시크릿;2009-10-13;TS;3;4;Secret Time;No;130;Girl Group
sha sha;;샤샤;2018-02-27;Major Ent;6;6;;No;131;Girl Group
sistar;;씨스타;2011-08-09;Starship;4;4;STAR1;No;132;Girl Group
sonamoo;;소나무;2014-12-29;TS;5;7;Solbangul;Yes;133;Girl Group
spica;;스피카;2012-02-07;CJ E&M;5;5;Mercury;No;134;Girl Group
stellar;;스텔라;2011-08-28;Pascal;4;4;Twinkle;No;135;Girl Group
sunny hill;;써니힐;2007-09-20;Nega;4;5;;No;136;Girl Group
t-ara;;티아라;2009-07-29;MBK;4;6;QUEEN'S;Hiatus;137;Girl Group
tahiti;;타히티;2012-06-23;J-line;5;6;;No;138;Girl Group
the grace;CSJH;천상지희;2005-04-29;SM;3;4;;No;139;Girl Group
tiny-g;;타이니지;2012-08-23;GNG;3;4;;No;140;Girl Group
twice;;트와이스;2015-10-20;JYP;9;9;Once;Yes;141;Girl Group
two x;;투엑스;2012-08-20;J. Tune;4;5;;No;142;Girl Group
uni.t;;유니티;2018-05-18;Unit Culture;8;9;;No;143;Girl Group
unicorn;;유니콘;2015-09-03;Cartoon Blue;4;5;;No;144;Girl Group
wable;;와블;2016-02-17;Kiwi;2;2;;Yes;145;Girl Group
wanna.b;;워너비;2014-11-17;Zenith;5;4;Ru.B;Yes;146;Girl Group
wassup;;와썹;2013-08-07;Mafia;7;7;;No;147;Girl Group
we girls;;위걸스;2018-08-31;Afternoon;8;8;;Yes;148;Girl Group
weki meki;WeMe;위키미키;2017-08-08;Fantagio;8;8;;Yes;149;Girl Group
wjsn;Cosmic Girls;우주소녀;2016-02-25;Starship;13;12;Ujung;Yes;150;Girl Group
wonder girls;WG;원더걸스;2007-02-13;JYP;4;5;Wonderful;No;151;Girl Group
yellow bee;;옐로비;2017-11-23;Addiction;5;5;;Yes;152;Girl Group
