Date;Artist;Song Name;Korean Name;Director;lien_video;Type;Release;vues;likes;comments;id_video;ratio_engagement
2020-04-22;h&d;Good Night;;;https://youtu.be/7JfEAusJ3OM;Boy;Minor;794833,0;69940,0;5551,0;42;0,08799332690011613
2020-04-21;imfact;Lie;거짓말이야;;https://youtu.be/lOQStviApZ4;Boy;Minor;nan;nan;nan;43;nan
2020-04-21;ha:tfelt;Satellite (Feat. ASH ISLAND);;;https://youtu.be/aiaLSkDDBec;Girl Solo;Major;nan;nan;nan;44;nan
2020-04-21;h&d;Soul;;;https://youtu.be/ej-Yo2E-Pio;Boy;Major;1492941,0;105178,0;11749,0;45;0,07045020533296359
2020-04-20;got7;Not By The Moon;;;https://youtu.be/ladClnnJhqg;Boy;Major;95887316,0;2511168,0;602689,0;46;0,02618874012491913
2020-04-20;bvndit;Children;;;https://youtu.be/IRYBMJ2qSns;Girl;Minor;340469,0;21624,0;765,0;47;0,06351239026166847
2020-04-18;zelo;She and Malibu;그녀와는 말리부;;https://youtu.be/EFjCTvNZU1s;Boy Solo;Major;198241,0;18479,0;1186,0;48;0,09321482438042585
2020-04-17;monsta x;YOU CAN'T HOLD MY HEART;;;https://youtu.be/AWV3pIesd0Y;Boy;English;17443258,0;729488,0;34330,0;49;0,04182062777492599
2020-04-14;cravity;Break All The Rules;;HIGHQUALITYFISH;https://youtu.be/NFlceOv8LMU;Boy;Major;15971201,0;640437,0;61687,0;50;0,04009948907411534
2020-04-13;apink;Dumhdurum;덤더럼;VIKINGS LEAGUE;https://youtu.be/WqzTRK5GPWQ;Girl;Major;45042729,0;751895,0;71177,0;51;0,016692927286887968
2020-04-13;girlkind;Future;퓨쳐;;https://youtu.be/qXGRDLwR-EM;Girl;Major;268012,0;12986,0;980,0;52;0,04845305434085041
2020-04-10;keembo;Thank You, Anyway;;;https://youtu.be/b8Yqo91ahZk;Girl;Major;58111,0;5320,0;325,0;53;0,09154893221593158
2020-04-09;winner;Remember;;;https://youtu.be/NTJ8esMHW2E;Boy;Major;26022820,0;494282,0;35456,0;54;0,01899417511245899
2020-04-09;mcnd;Spring;떠;;https://youtu.be/GpYOfM_PwZg;Boy;Major;14818001,0;424129,0;36706,0;55;0,028622551719358097
2020-04-09;dalsooobin;Dive;다이브;;https://youtu.be/IENMc46TMtU;Girl Solo;Major;162015,0;4473,0;533,0;56;0,02760855476344783
2020-04-08;unvs;Solar Eclipse (feat room102);절대 모를거야;;https://youtu.be/ger1cmhBmT4;Boy;Major;113257,0;9373,0;446,0;57;0,08275868158259533
2020-04-07;stella jang;Villain;빌런;;https://youtu.be/ghpn99s8I-U;Girl Solo;Major;21901803,0;580095,0;10253,0;58;0,02648617559020141
2020-04-06;(g)i-dle;Oh My God;오마이갓;Rigend Film;https://youtu.be/om3n2ni8luE;Girl;Major;226059415,0;3438496,0;210415,0;59;0,015210585234859606
2020-04-06;max changmin;Chocolate;;;https://youtu.be/-sKqPjhSiq0;Boy Solo;Major;6673945,0;332286,0;17247,0;60;0,049788543357789136
2020-04-05;cignature;ASSA;아싸;;https://youtu.be/xDuaONIDgvc;Girl;Major;3197185,0;152723,0;7141,0;61;0,04776795837588379
2020-04-02;onewe;Q feat Hwasa;모르겠다고;;https://youtu.be/Ww0O3RhZbXw;Boy;Major;nan;nan;nan;62;nan
2020-04-01;hong jinyoung;Love is like a petal;사랑은 꽃잎처럼;;https://youtu.be/aTx5trrmYCQ;Girl Solo;Major;3195827,0;68714,0;3476,0;63;0,021501163861498133
2020-03-31;cix;Revival;;;https://youtu.be/LkbwhXFrmsc;Boy;Japanese;5852505,0;152421,0;9157,0;64;0,026043719740521366
2020-03-30;too;Magnolia;매그놀리아;;https://youtu.be/VMON43ideUI;Boy;Major;2167105,0;162914,0;6548,0;65;0,07517586826665067
2020-03-30;monsta x;Wish on the same sky;;;https://youtu.be/Xn5fAvdEEZA;Boy;Japanese;1913557,0;120571,0;12352,0;66;0,06300883642347732
2020-03-30;suho (exo);Let's Love;사랑, 하자;;https://youtu.be/Ygrv55VRRas;Boy Solo;Major;14760332,0;1239628,0;404814,0;67;0,08398374779103884
2020-03-26;winner;Hold;뜸;Sushivisual;https://youtu.be/YURT0erwtJc;Boy;Major;18942085,0;849745,0;50399,0;68;0,044860161909314626
2020-03-24;kang daniel;2U;;;https://youtu.be/GmqfRBaJm6I;Boy Solo;Major;8425352,0;361471,0;23858,0;69;0,04290277723708161
2020-03-24;oneus;A Song Written Easily;쉽게 쓰여진 노래;ZANYBROS;https://youtu.be/Fbj4Dh-QkpA;Boy;Major;9718739,0;372502,0;26333,0;70;0,03832822344544905
2020-03-23;seventeen;Fallin' Flower;舞い落ちる花びら;;https://youtu.be/u4iDL3c0T1c;Boy;Japanese;53347117,0;960338,0;64221,0;71;0,01800168507700238
2020-03-22;kisum;Primero;1위;;https://youtu.be/5YsdHqm9udM;Girl Solo;Minor;218232,0;10296,0;545,0;72;0,04717914879577697
2020-03-21;purplebeck;VALENTi;;;https://youtu.be/ndwoqz1wx7Y;Girl;Major;nan;nan;nan;73;nan
2020-03-20;daydream;Num Num;;;https://youtu.be/XrAZVvCaqL0;Girl;Major;38816,0;2594,0;290,0;74;0,06682811211871394
2020-03-17;sejeong (gugudan);Plant;;;https://youtu.be/pbAUixR61Vs;Girl Solo;Major;nan;nan;nan;75;nan
2020-03-15;hong eunki;Breath;숨;;https://youtu.be/zIvlwzMuP-4;Boy Solo;Major;164373,0;15453,0;596,0;76;0,09401179025752404
2020-03-13;eyedi;J.us.t;;;https://youtu.be/UbIz99fsUXY;Girl Solo;Major;166026,0;8865,0;596,0;77;0,0533952513461747
2020-03-12;ab6ix;Color Eye (Park Woojin);;;https://youtu.be/aFRkwkLMGHI;Boy;Special;5253338,0;115224,0;5988,0;78;0,021933483054012517
2020-03-11;dongkiz;Lupin;;;https://youtu.be/6ZgIW9CwhZw;Boy;Major;1427114,0;86988,0;6357,0;79;0,06095378505150955
2020-03-11;dreamcatcher;Sahara;;;https://youtu.be/BgLhbkKu1s4;Girl;Special;6220396,0;222137,0;9614,0;80;0,0357110704849016
2020-03-10;favorite;Lie;또 LIE;;https://youtu.be/lE1X2U1sBFg;Girl;Major;784876,0;42840,0;1764,0;81;0,0545818702572126
2020-03-09;stray kids;Levanter -Japanese ver.-;;;https://youtu.be/YlOLn9Pd9R4;Boy;Japanese;2368647,0;148033,0;3970,0;82;0,062496860021776145
2020-03-09;itzy;Wannabe;;Naive;https://youtu.be/fE2h3lGlOsk;Girl;Major;553534740,0;6690744,0;343344,0;83;0,01208730639020055
2020-03-08;victon;Howling;;;https://youtu.be/fPlcZsCOugA;Boy;Major;19219480,0;325821,0;22933,0;84;0,016952643880063352
2020-03-05;bts;Black Swan;;;https://youtu.be/0lapF4DQPKQ;Boy;Minor;537917732,0;13303073,0;1216370,0;85;0,02473068316699402
2020-03-05;nct 127;Kick It;영웅;Kim 'Oui Kim' Seonguk;https://youtu.be/2OvyA2__Eas;Boy;Major;189863123,0;4132667,0;439033,0;86;0,021766559691531042
2020-03-04;viini;Love The Moon feat. Suhyun, BLOO;달을 사랑해;;https://youtu.be/Md9RRt2r3TU;Boy Solo;Major;2380018,0;159028,0;7797,0;87;0,06681798204887526
2020-03-04;dreamcatcher;Endless Night;;;https://youtu.be/wCALuFy2YVI;Girl;Japanese;3006925,0;110386,0;5715,0;88;0,03671059304771486
2020-03-03;craxy;Aria;;;https://youtu.be/KhM_l1EeHKc;Girl;Major;3455053,0;121199,0;21008,0;89;0,03507876724322319
2020-03-01;ftisland;Sunrise Yellow;;;https://youtu.be/SYMZf2DgRdg;Boy;Japanese;470638,0;15197,0;784,0;90;0,03229021031025969
2020-02-29;chungha;Everybody Has;솔직히 지친다;;https://youtu.be/-4sq1sUI7-I;Girl;Special;2256253,0;122205,0;2528,0;91;0,05416280886939541
2020-02-28;bts;ON;온;;https://youtu.be/mPVDGOVjRQ0;Boy;Major;337589442,0;12762161,0;2712726,0;92;0,03780379186147652
2020-02-28;lim kim;Mong;;;https://youtu.be/XYNfqKJr538;Girl Solo;Major;746600,0;31235,0;2111,0;93;0,0418363246718457
2020-02-27;sf9;Good Guy -Japanese ver.-;;;https://youtu.be/LswOtwkLEAI;Boy;Japanese;1141749,0;32901,0;1362,0;94;0,0288163160204213
2020-02-27;mcnd;Ice Age;;;https://youtu.be/XpIG9dq1PQw;Boy;Major;30675631,0;936959,0;56976,0;95;0,030544082369487364
2020-02-26;elris;Jackpot;;August Frogs;https://youtu.be/iPAIlZM1VUU;Girl;Major;2278088,0;69552,0;4337,0;96;0,030530866235193722
2020-02-24;alexa;A.I Trooper;;;https://youtu.be/LGt-Dmnjk-s;Girl Solo;Minor;3415080,0;140624,0;5527,0;97;0,04117736626960423
2020-02-24;ravi;ROCKSTAR (Feat. Paloalto);;;https://youtu.be/OZw8s1wVUtU;Boy Solo;Major;nan;nan;nan;98;nan
2020-02-23;spectrum;Showtime;;;https://youtu.be/13ktxoI5E-M;Boy;Major;nan;nan;nan;99;nan
2020-02-22;unvs;Timeless;;;https://youtu.be/MEtQXrElVy0;Boy;Major;294729,0;25392,0;1012,0;100;0,08615372087578758
2020-02-21;bts;ON (Kinetic Manifesto Film : Come Prima);온;Lumpens;https://youtu.be/gwMa6gpoE9I;Boy;Major;627340360,0;14653365,0;1781712,0;101;0,023357918498978766
